abandon			[포기하다]
consist [consist of -로 구성되다]	
constitute [구성하다]		
constructive[건설적인]
consumer [소비자]
contact  [접촉, 접촉하다]	
container [그릇, 컨테이너]
contemporary [동시대(의), 현대(의)]
contend [다투다], [주장하다=maintain]
content [be content with, -에 만족하다]
contest	[경쟁], [경쟁하다]
continue [계속하다]	
contrary [on the contary, 반대로], [반대의]
contrast [in contrast, 반대로, 대조적으로]	
contribute  [공헌하다]       
contribution [기부, 공헌, 기고]
controllable [통제되는]	      
controller [제어, 통제]	
convenience [편의, 편리]     
convenient [편리한]
conversation [대화]	
conviction  [확신]	     
convince [확신시키다]	
cooperation [협력, 협동]
copper [구리]	
cost   [비용]	            
costly [값비싼]
cottage  [시골집, 작은집, 단층집]
cotton [목화, 솜, 무명]
counseling [상담]               
counsel [조언, 충고]
count   [be important 중요하다], [간주되다], [셈에 넣다]
countless [셀 수없는]
courage [용기]	
court [법정]	
cradle 	[요람, 어린이 침대]
crash [쿵, 쾅], [추락], [충돌]
crayon 	[크레용]
crazy [미친]	
create  [창조하다]           
creation [창조, 창작]
creative [창조적인]	      
creatively [창조적으로]
creativity [창조성, 독창성]   
creature [창조물, 생물]
crime  [죄, 범죄]	
crisis [위기]
criteria  [criterion의 복수. 기준]
critical [비판적인]           
criticize [비판하다]
crop [수확물, 작물]
crosswalk [횡단보도]	         
crowded [붐비는, 혼잡한]
crowd [군중], [붐비다]	
crucial [결정적인, 중요한]	
cultural [문화의]               
culture [문화]	
cure [치료하다]	
curious [호기심 있는]	
currency [통화]	              
current [지금의, 현재의]	
curriculum [교과과정]	
curve [굴곡]	
cushion [(충격을) 흡수하다]	
customer [고객]	        
custom 관습		
cut [cut back on, 줄이다]
daily  [매일의], [daily journal, 일기]	
damage [손해, 피해]	
data [자료]	
date [blind date 처음 만나는 데이트]	 
deal  [양, a great deal, (비교급 앞에서) 훨씬 더)], [deal with 다루다]	
decade [10년]	
decent [우아한, 남보기 좋은]	
decide  [결심하다]	
decline [하강], 기울다	
decorate [장식하다]
decrease  [줄이다, 감소시키다]	
dedicated [헌신적인]
deer [사슴]
defeat [패배시키다]	  
defective [불완전한, 결점이 있는]
define [정의를 내리다, 규정짓다]  definition [제한, 한정]
delay [지연, 지체]
delightful [매우 기쁜]	
deliver 	[배달하다, 해방시키다]
demand [요구하다], [수요]	
democracy [민주주의]		
deny [거부하다]	
department  [부서]	
depend [의존하다, 나름이다, depend on = rely on]
dependable [의존할 수 있는]	
dependent [의존하는,be dependent on] [의존하는 사람]
depressed [의기소침한] [내려앉은]
deprived [가난한] 	
describe [묘사하다]	
deserted [사람이 살지 않는, 황폐한]	
design  [디자인(하다), 설계(하다)]  
designer [디자이너, 설계자]
desire [욕망, 갈망, 희망]	
despite  [-에도 불구하고]
destination [목적지], [목적]	
 			
destroy [파괴하다]
detect [간파하다]	
determine  [결정하다]	
develop  [개발하다], [현상하다], [발달시키다]	
development [개발, 발달, 발전]	   
developmental [개발의] 
device [도구, 장치]	
devote [헌신시키다, devote oneself to, 헌신하다]	
devotion [헌신, 전념]	
dictatorship [독재권]	
diesel [디젤, 중유]	
diet  [일상의 음식물], [식이요법]
differ  [-와 다르다]    
difference  [차이]  
different [다른]        
differently [다르게]
